product_id,inventory_id,product_name,product_category,product_subcategory,brand,Purchase_Date
1,1001,GTK-XB90 Bluetooth Speaker,"Wireless Speakers,Powered Speakers,Portable Audio & Video",Bluetooth Speakers,Sony,2022-02-23
2,1002,Samsung Radiant360 R1 Wi-Fi/Bluetooth Speaker WAM1500/ZA - Black (Certified Refurbished),"Wireless Speakers,Powered Speakers,Portable Audio & Video",Bluetooth Speakers,Samsung,2023-10-15
3,1003,Next-Generation ARRIS SURFboard SB8200 DOCSIS 3.1 Cable Modem - Retail Packaging- White,"USB-to-VGA Adapters, Adapters,Computer Cable Adapters, Cable",Cable,Arris,2021-08-13
4,1004,PDWM1904 Single-Channel Wireless System with Headset Lavalier Microphones,"Microphones, Audio, Headphones & Accessories, Headset",Microphones,Pyle Pro,2023-09-03
5,1005,Zmodo Hd Wifi Home Security Camera Twoway Audio Motion Detection Cloud Service,"Wireless,Home Safety and Security",Safety & security,Zmodo,2022-04-19
6,1006,"HEOS 5 Wireless Speaker System (Series 2, White)","Wireless Speakers,Powered Speakers,Portable Audio & Video,Speaker",Bluetooth Speakers,Denon,2023-05-11
7,1007,Sony - High Power XB60 Portable Bluetooth Speaker - Black,"Wireless Speakers,Powered Speakers,Portable Audio & Video,Speaker",Bluetooth Speakers,Sony,2021-04-05
8,1008,"Definitive Technology - W9 Dual 5-1/4 180W 2-Way Wireless Speaker (Each) for Streaming Music - Black""","Wireless Speakers,Powered Speakers,Portable Audio & Video,Speaker",Bluetooth Speakers,Definitive Technology,2021-08-06
9,1009,Google Daydream View - VR Headset (Slate),"Microphones, Audio, Headphones & Accessories, Headset",Headset,Google,2023-12-01
10,1010,Turtle Beach Ear Force Recon 320 7.1 Surround Sound Gaming Headset Pc Refurb,"Microphones, Audio, Headphones & Accessories, Headset",Headset,Turtle Beach,2023-02-05
11,1011,Onkyo - TX 7.2-Ch. Network-Ready A/V Home Theater Receiver - Black,"LED & LCD TVs, Home Theater, OLED TV",Home theatre,Onkyo,2023-06-11
12,1012,Hoya - EVO 77mm Antistatic UV Super Multicoated Lens Filter - Gray,Digital Camera Accessories,Lens,HOYA,2022-05-08
13,1013,Details About [genuine National] Sealed Gaming Headset Steelseries Arctis 7 Black 61463,"Microphones, Audio, Headphones & Accessories, Headset",Headset,Steelseries,2022-05-02
14,1014,Apple MD825AM/A Lightning to VGA Adapter for iPhones,"USB-to-VGA Adapters, Adapters,Computer Cable Adapters, Cable",Adapter,Apple,2022-11-17
15,1015,"Galaxy Note 8 SM-N950U 64GB Smartphone (Unlocked, Midnight Black)","Mobile Phones, Mobile Accessories, Charger",Mobile Phone,Samsung,2021-10-14
16,1016,Samsung - Galaxy J3 4G LTE with 16GB Memory Cell Phone (Unlocked) - Black,"Mobile Phones, Mobile Accessories, Charger",Mobile Phone,Samsung,2023-10-19
17,1017,Samsung - Galaxy J7 4G LTE with 16GB Memory Cell Phone (Unlocked) - Black,"Mobile Phones, Mobile Accessories, Charger",Mobile Phone,Samsung,2021-01-19
18,1018,Signature Series 43-Class UHD Outdoor LED TV (Black),"LED & LCD TVs, Home Theater, OLED TV",LED TV,SunBriteTV,2021-04-15
19,1019,"Samsung - 49 Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV""","Mobile Phones, Mobile Accessories, Charger",Mobile Phone,Samsung,2022-06-25
20,1020,Cerwin Vega - SL Series 2-Way Center-Channel Speaker - Black,"Wireless Speakers,Powered Speakers,Portable Audio & Video,Speaker",Speaker,Cerwin Vega,2022-03-13
21,1021,Sony - 1155W 7.2-Ch. Hi-Res Network-Ready 4K Ultra HD and 3D Pass-Through HDR Compatible A/V Home Theater Receiver - Black,"LED & LCD TVs, Home Theater, OLED TV",Home Theater,Sony,2022-12-06
22,1022,Pioneer - 5.1-Ch. 4K Ultra HD HDR Compatible A/V Home Theater Receiver - Black,"LED & LCD TVs, Home Theater, OLED TV",Home Theater,Pioneer,2023-09-16
23,1023,AudioQuest - Black Lab 26.2' In-Wall Subwoofer Cable - Black/White,"USB-to-VGA Adapters, Adapters,Computer Cable Adapters, Cable",Cable,AudioQuest,2022-05-10
24,1024,Onkyo TX-8270 2 Channel Network Stereo Receiver with 4k HDMI,"USB-to-VGA Adapters, Adapters,Computer Cable Adapters, Cable",Cable Adapter,Onkyo,2021-12-07
25,1025,"Sony - 55 Class - OLED - A1E Series - 2160p - Smart - 4K UHD TV with HDR""","LED & LCD TVs, Home Theater, OLED TV",OLED Tv,Sony,2022-05-24
